CC Agency ID,State/Territory,Catholic Diocese Name,CC Agency Name,Primary Website homepage,USCCB Region,CCUSA Regions
204,Alabama,Birmingham,"Catholic Family Services, Diocese of Birmingham",https://www.catholiccharitiesbhm.org/,5,5
205,Alabama,Mobile,"Catholic Social Services, Mobile",https://www.cssalabama.org/,5,5
201,Alaska,Anchorage-Juneau,"Catholic Social Services, Anchorage",http://www.cssalaska.org/,12,1
203,Alaska,Anchorage-Juneau,"Catholic Community Service, Juneau",http://www.ccsjuneau.org/,12,1
208,American Samoa,American Samoa-Pago Pago,"Catholic Social Services, American Samoa",,0,1
212,Arizona,Phoenix,Catholic Charities Community Services,http://www.catholiccharitiesaz.org/,13,2
211,Arizona,Tucson,"Catholic Community Services of Southern Arizona, Inc.",http://www.ccs-soaz.org,13,2
209,Arkansas,Little Rock,Catholic Charities of Arkansas,https://www.dolr.org/,10,2
213,California,Fresno,Catholic Charities Diocese of Fresno,http://www.ccdof.org,11,1
214,California,Los Angeles,Catholic Charities of Los Angeles,http://www.catholiccharitiesla.org/,11,1
215,California,Monterey,Catholic Charities Diocese of Monterey,https://catholiccharitiesdom.org/,11,1
216,California,Oakland,Catholic Charities of the East Bay,http://www.cceb.org/,11,1
217,California,Orange,Catholic Charities of Orange County,http://www.ccoc.org/,11,1
218,California,Sacramento,"Catholic Charities of Sacramento, Inc.",https://www.scd.org/catholic-charities-and-social-concerns/catholic-charities,11,1
219,California,San Bernardino,Catholic Charities San Bernardino & Riverside Counties,http://www.ccsbriv.org/,11,1
220,California,San Diego,Catholic Charities Diocese of San Diego,http://www.ccdsd.org,11,1
221,California,San Francisco,Catholic Charities San Francisco,http://www.CatholicCharitiesSF.org/,11,1
222,California,San Jose,Catholic Charities of Santa Clara County,http://www.catholiccharitiesscc.org/,11,1
223,California,Santa Rosa,Catholic Charities of Northwest California,http://www.srcharities.org/,11,1
224,California,Stockton,Catholic Charities Diocese of Stockton,https://www.ccstockton.org,11,1
225,Colorado,Colorado Springs,Catholic Charities of Central Colorado,http://www.ccharitiescs.org,13,2
226,Colorado,Denver,Catholic Charities of the Archdiocese of Denver,http://www.ccdenver.org/,13,2
227,Colorado,Pueblo,Catholic Charities of the Diocese of Pueblo,http://www.pueblocharities.org/,13,2
228,Connecticut,Bridgeport,"Catholic Charities of Fairfield County, Inc.",http://www.ccfairfield.org/,1,6
229,Connecticut,Hartford,Catholic Charities Archdiocese of Hartford,http://www.ccaoh.org/,1,6
230,Connecticut,Norwich,Catholic Charities Diocese of Norwich,http://www.ccfsn.org/,1,6
232,Delaware,Wilmington,Catholic Charities of the Diocese of Wilmington,https://www.ccwilm.org/,4,5
231,District of Columbia,Washington,Catholic Charities of the Archdiocese of Washington,https://www.catholiccharitiesdc.org,4,5
234,Florida,Miami,Catholic Charities of the Archdiocese of Miami,https://www.ccadm.org,14,5
235,Florida,Orlando,Catholic Charities of Central Florida,https://www.cflcc.org,14,5
236,Florida,Palm Beach,"Catholic Charities Diocese of Palm Beach, Inc.",http://www.catholiccharitiesdpb.org/,14,5
237,Florida,Pensacola-Tallahassee,Catholic Charities of Northwest Florida,https://ccnwfl.org/,14,5
238,Florida,St. Augustine,"Catholic Charities Bureau, Inc.",http://www.ccbdosa.org/,14,5
239,Florida,St. Petersburg,"Catholic Charities Diocese of St. Petersburg, Inc.",http://www.ccdosp.org/,14,5
240,Florida,Venice,"Catholic Charities Diocese of Venice, Inc.",http://www.catholiccharitiesdov.org/,14,5
241,Georgia,Atlanta,Catholic Charities Atlanta,http://www.catholiccharitiesatlanta.org/,14,5
242,Georgia,Savannah,Catholic Charities of South Georgia,https://24284.sites.ecatholic.com/,14,5
243,Guam,Agana,"Catholic Social Service, Agana",http://www.catholicsocialserviceguam.org/home.html,0,1
244,Hawaii,Honolulu,Catholic Charities Hawai`i,http://www.catholiccharitieshawaii.org/,11,1
233,Idaho,Boise,Catholic Charities of Idaho,https://www.ccidaho.org/,12,1
249,Illinois,Belleville,Catholic Charities of Southern Illinois,https://catholiccharitiessil.org/catholic-charities,7,4
250,Illinois,Chicago,Catholic Charities of the Archdiocese of Chicago,http://www.catholiccharities.net/,7,4
251,Illinois,Joliet,Catholic Charities Diocese of Joliet,http://www.cc-doj.org/,7,4
395,Illinois,Peoria,Catholic Charities Diocese of Peoria,https://www.cdop.org/catholic-charities/,7,4
254,Illinois,Springfield in Illinois,Catholic Charities of the Diocese of Springfield in Illinios,http://cc.dio.org/,7,4
255,Indiana,Evansville,Catholic Charities of Evansville,https://www.ccevansville.org/,7,4
256,Indiana,Fort Wayne-South Bend,Catholic Charities Diocese of Fort Wayne-South Bend,http://www.ccfwsb.org,7,4
257,Indiana,Gary,Catholic Charities Diocese of Gary,http://www.catholic-charities.org/,7,4
258,Indiana,Indianapolis,Catholic Charities Indianapolis,https://www.archindy.org/cc,7,4
245,Iowa,Davenport,Catholic Charities Diocese of Davenport,https://www.davenportdiocese.org/,9,3
246,Iowa,Des Moines,Catholic Charities Diocese of Des Moines,https://www.catholiccharitiesdm.org,9,3
247,Iowa,Dubuque,Catholic Charities Archdiocese of Dubuque,https://www.catholiccharitiesdubuque.org/,9,3
248,Iowa,Sioux City,Catholic Charities Diocese of Sioux City,http://www.cathchar.com/,9,3
260,Kansas,Dodge City,Catholic Charities of Southwest Kansas,https://catholiccharitiesswks.org/,9,3
261,Kansas,Kansas City,Catholic Charities of Northeast Kansas,http://www.catholiccharitiesks.org/,9,3
262,Kansas,Salina,Catholic Charities of Northern Kansas,http://www.ccnks.org/,9,3
263,Kansas,Wichita,"Catholic Charities, Diocese of Wichita",http://www.catholiccharitieswichita.org,9,3
264,Kentucky,Covington,"Catholic Charities, Diocese of Covington",http://www.covingtoncharities.org/,5,5
265,Kentucky,Lexington,Catholic Charities Diocese of Lexington,https://www.catholiccharitieslexington.org/,5,5
266,Kentucky,Louisville,"Catholic Charities of Louisville, Inc.",http://www.cclou.org,5,5
267,Kentucky,Owensboro,Catholic Charities of the Diocese of Owensboro,https://owensborodiocese.org/catholic-charities/,5,5
268,Louisiana,Alexandria,Catholic Charities of Central Louisiana,http://www.cccenla.org/,5,5
269,Louisiana,Baton Rouge,Catholic Charities of the Diocese of Baton Rouge,http://www.ccdiobr.org/,5,5
270,Louisiana,Houma-Thibodaux,Catholic Charities of the Diocese of Houma-Thibodaux,https://www.htdiocese.org/,5,5
271,Louisiana,Lafayette in Louisiana,Catholic Charities of Acadiana,https://www.catholiccharitiesacadiana.org,5,5
272,Louisiana,Lake Charles,Catholic Charities of Southwest Louisiana,https://catholiccharitiesswla.com/,5,5
273,Louisiana,New Orleans,Catholic Charities Archdiocese of New Orleans,http://www.ccano.org,5,5
274,Louisiana,Shreveport,Catholic Charities of North Louisiana,http://ccnla.org,5,5
280,Maine,Portland in Maine,Catholic Charities Maine,https://www.ccmaine.org/,1,6
101,Mariana Islands,Chalan Kanoa,Karidat Catholic Charities,https://karidat.com/,0,1
279,Maryland,Baltimore,Catholic Charities of Baltimore,https://cc-md.org/,4,5
275,Massachusetts,Boston,Catholic Charities of Boston,http://www.ccab.org/,1,6
276,Massachusetts,Fall River,"Catholic Social Services, Fall River",https://www.ccfrdioc.org/,1,6
277,Massachusetts,Springfield in Massachusetts,"Catholic Charities Agency, Springfield",https://www.diospringfield.org/,1,6
278,Massachusetts,Worcester,Catholic Charities Worcester County,http://www.ccworc.org/,1,6
282,Michigan,Detroit,Catholic Charities of Southeast Michigan,http://ccsem.org/,6,4
284,Michigan,Grand Rapids,Catholic Charities West Michigan,http://www.ccwestmi.org,6,4
286,Michigan,Kalamazoo,Catholic Charities Diocese of Kalamazoo,https://ccdok.org/,6,4
287,Michigan,Lansing,Catholic Charities Diocese of Lansing,https://www.dioceseoflansing.org/catholic-charities,6,4
288,Michigan,Marquette,Catholic Social Services of the Upper Peninsula,http://www.cssup.org/,6,4
386,Minnesota,New Ulm,Catholic Charities of the Diocese of New Ulm,https://www.dnu.org/catholiccharities/,8,3
293,Minnesota,St. Cloud,Catholic Charities of the Diocese of St. Cloud,http://www.ccstcloud.org,8,3
292,Minnesota,St. Paul-Minneapolis,Catholic Charities of St. Paul and Minneapolis,https://cctwincities.org/,8,3
294,Minnesota,Winona-Rochester,Catholic Charities of Southern Minnesota,https://www.ccsomn.org/,8,3
298,Mississippi,Biloxi,Catholic Charities of South Mississippi,https://catholiccharitiesofsouthms.org/,5,5
299,Mississippi,Jackson,Catholic Charities of Jackson,http://www.catholiccharitiesjackson.org/,5,5
390,Missouri,Jefferson City,Catholic Charities of Central and Northern Missouri,https://cccnmo.diojeffcity.org/,9,3
296,Missouri,Kansas City-St. Joseph,"Catholic Charities of Kansas City-St. Joseph, Inc.",https://cccnmo.diojeffcity.org/,9,3
391,Missouri,Springfield-Cape Girardeau,Catholic Charities of Southern Missouri,https://ccsomo.org/,9,3
297,Missouri,St. Louis,Catholic Charities of St. Louis,http://www.ccstl.org/,9,3
300,Montana,Helena,Catholic Social Services of Montana,https://www.cssmt.org/,12,1
305,Nebraska,Omaha,Catholic Charities of Omaha,http://www.ccomaha.org/,9,3
316,Nevada,Las Vegas,Catholic Charities of Southern Nevada,http://www.catholiccharities.com/,13,2
317,Nevada,Reno,Catholic Charities of Northern Nevada,http://ccsnn.org/,13,2
394,New Hampshire,Manchester,Catholic Charities of New Hampshire,https://www.cc-nh.org/,1,6
307,New Jersey,Camden,"Catholic Charities, Diocese of Camden",http://catholiccharitiessouthjersey.org/,3,6
308,New Jersey,Metuchen,"Catholic Charities, Diocese of Metuchen",http://www.ccdom.org/,3,6
309,New Jersey,Newark,Catholic Charities of the Archdiocese of Newark,http://www.ccannj.com/,3,6
311,New Jersey,Paterson,"Catholic Charities, Diocese of Paterson",https://www.ccpaterson.org/,3,6
312,New Jersey,Trenton,"Catholic Charities, Diocese of Trenton",http://www.catholiccharitiestrenton.org/,3,6
313,New Mexico,Gallup,Catholic Charities of Gallup,https://catholiccharitiesgallup.org/,13,2
314,New Mexico,Las Cruces,Catholic Charities of Southern New Mexico,http://www.catholiccharitiesdlc.org/,13,2
315,New Mexico,Santa Fe,Catholic Charities Archdiocese of Santa Fe,http://www.ccasfnm.org/,13,2
318,New York,Albany,Catholic Charities of the Diocese of Albany,http://www.ccrcda.org/,2,6
319,New York,Brooklyn,Catholic Charities Brooklyn and Queens,http://www.ccbq.org/,2,6
320,New York,Buffalo,Catholic Charities of Buffalo,http://www.ccwny.org/,2,6
321,New York,New York,Catholic Charities Archdiocese of New York,http://www.catholiccharitiesny.org/,2,6
393,New York,Ogdensburg,Catholic Charities of Ogdensburg,https://www.cathcharities.org/,2,6
323,New York,Rochester,Catholic Charities Community Services,https://ccdor.org/,2,6
324,New York,Rockville Centre,Catholic Charities of Long Island,http://www.catholiccharities.cc/,2,6
325,New York,Syracuse,Catholic Charities Diocese of Syracuse,http://syracusediocese.org/diocesan-offices/catholic-charities/,2,6
301,North Carolina,Charlotte,Catholic Charities Diocese of Charlotte,https://ccdoc.org/,14,5
302,North Carolina,Raleigh,Catholic Charities of the Diocese of Raleigh,https://www.catholiccharitiesraleigh.org/,14,5
303,North Dakota,Fargo,Catholic Charities North Dakota,http://www.catholiccharitiesnd.org/,8,3
310,Ohio,Cincinnati,Catholic Social Services of the Miami Valley,http://www.cssmv.org,6,4
326,Ohio,Cincinnati,Catholic Charities Southwestern Ohio,http://www.catholiccharitiesswo.org/,6,4
327,Ohio,Cleveland,"Catholic Charities, Diocese of Cleveland",http://www.ccdocle.org,6,4
328,Ohio,Columbus,"Catholic Social Services, Columbus",http://www.colscss.org/,6,4
329,Ohio,Steubenville,Catholic Charities of the Diocese of Steubenville,http://www.diosteub.org/,6,4
330,Ohio,Toledo,Catholic Charities Diocese of Toledo,http://www.catholiccharitiesnwo.org/,6,4
331,Ohio,Youngstown,Catholic Charities Diocese of Youngstown,http://ccdoy.org/,6,4
332,Oklahoma,Oklahoma City,Catholic Charities of the Archdiocese of Oklahoma City,https://www.catholiccharitiesok.org/,10,2
392,Oklahoma,Tulsa,Catholic Charities of Eastern Oklahoma,https://cceok.org,10,2
335,Oregon,Portland in Oregon,Catholic Charities of Oregon,http://www.catholiccharitiesoregon.org/,12,1
336,Pennsylvania,Allentown,Catholic Charities Diocese of Allentown,https://www.catholiccharitiesad.org/,3,6
337,Pennsylvania,Altoona-Johnstown,Catholic Charities of the Diocese of Altoona-Johnstown,https://www.catholiccharitiesaj.org/,3,6
339,Pennsylvania,Greensburg,Catholic Charities of the Diocese of Greensburg,https://www.ccharitiesgreensburg.org/,3,6
340,Pennsylvania,Harrisburg,Catholic Charities of the Diocese of Harrisburg,https://www.hbgdiocese.org/,3,6
341,Pennsylvania,Philadelphia,"Catholic Social Services, Philadelphia",https://cssphiladelphia.org/,3,6
342,Pennsylvania,Pittsburgh,Catholic Charities of the Diocese of Pittsburgh,https://www.ccpgh.org/,3,6
344,Pennsylvania,Scranton,Catholic Social Services of the Diocese of Scranton,https://www.dioceseofscranton.org/,3,6
345,Puerto Rico,San Juan,"Caritas de Puerto Rico, Inc.",https://caritaspr.net/,4,5
346,Rhode Island,Providence,Catholic Social Services Rhode Island,https://dioceseofprovidence.org/find-support,1,6
348,South Carolina,Charleston,Catholic Charities of South Carolina,https://charitiessc.org/,14,5
349,South Dakota,Rapid City,"Catholic Social Services, Rapid City",https://www.cssrapidcity.com/,8,3
351,Tennessee,Knoxville,Catholic Charities of East Tennessee,http://www.ccetn.org/,5,5
352,Tennessee,Memphis,Catholic Charities of West Tennessee,http://www.ccwtn.org/,5,5
353,Tennessee,Nashville,"Catholic Charities of Tennessee, Inc.",http://www.cctenn.org/,5,5
354,Texas,Amarillo,Catholic Charities of the Texas Panhandle,https://cctxp.org/,10,2
355,Texas,Austin,Catholic Charities of Central Texas,https://ccctx.org/,10,2
356,Texas,Beaumont,Catholic Charities of Southeast Texas,https://www.ccsetx.org/,10,2
357,Texas,Brownsville,Catholic Charities of the Rio Grande Valley,https://catholiccharitiesrgv.org/,10,2
358,Texas,Corpus Christi,"Catholic Charities of Corpus Christi, Inc.",https://www.catholiccharities-cc.org/,10,2
359,Texas,Dallas,Catholic Charities Dallas,https://www.ccdallas.org/,10,2
361,Texas,Fort Worth,Catholic Charities Diocese of Fort Worth,https://catholiccharitiesfortworth.org/,10,2
362,Texas,Galveston-Houston,Catholic Charities of the Archdiocese of Galveston-Houston,https://catholiccharities.org/,10,2
383,Texas,Laredo,Catholic Charities Diocese of Laredo,https://dioceseoflaredo.org/catholic-charities/,10,2
363,Texas,Lubbock,Catholic Charities of Lubbock,https://cclubbock.org/,10,2
364,Texas,San Angelo,Catholic Charities Community Services of Odessa,https://ccodessa.com/,10,2
365,Texas,San Antonio,"Catholic Charities, Archdiocese of San Antonio, Inc.",https://ccaosa.org/,10,2
384,Texas,Tyler,Catholic Charities Diocese of Tyler,https://ccetx.org/,10,2
367,Utah,Salt Lake City,Catholic Community Services of Utah,https://www.ccsutah.org/,13,2
372,Vermont,Burlington,Vermont Catholic Charities,https://www.vermontcatholic.org/,1,6
371,Virgin Islands,St. Thomas,Catholic Charities Virgin Islands,https://catholiccharitiesvi.org/,4,5
368,Virginia,Arlington,Catholic Charities of the Diocese of Arlington,https://www.ccda.net/,4,5
369,Virginia,Richmond,Catholic Charities of Eastern Virginia,https://cceva.org/,4,5
370,Virginia,Richmond,Commonwealth Catholic Charities,https://www.cccofva.org/,4,5
373,Washington,Seattle,Catholic Community Services of Western Washington,https://ccsww.org/,12,1
374,Washington,Spokane,Catholic Charities Eastern Washington,https://www.cceasternwa.org/,12,1
375,Washington,Yakima,Catholic Charities of Central Washington,https://catholiccharitiescw.org/,12,1
381,West Virginia,Wheeling-Charleston,Catholic Charities West Virginia,https://www.ccwva.org/,4,5
376,Wisconsin,Green Bay,Catholic Charities of the Diocese of Green Bay,https://catholiccharitiesgb.org/,7,4
377,Wisconsin,La Crosse,Catholic Charities of the Diocese of La Crosse,https://cclse.org/,7,4
378,Wisconsin,Madison,Catholic Charities Madison,https://catholiccharitiesofmadison.org/,7,4
379,Wisconsin,Milwaukee,Catholic Charities of the Diocese of Milwaukee,https://www.ccmke.org,7,4
380,Wisconsin,Superior,Catholic Charites Bureau,https://ccbsuperior.org/,7,4
382,Wyoming,Cheyenne,Catholic Charities of Wyoming,https://www.charitieswyoming.org/,13,2
